question_id,length,date,text
127437,1037,2016-07-18 19:54:00,"היי 
אני עובדת בחברה קבלנית קטנה באזור הצפון, בערך 4 חודשים 
בהתחלה לא הכרתי אף אחד מפה, לאט לאט התחיל להיווצר קשר ביני לבין אחד הקבלנים 
מדברים גם אחרי שעות העבודה כמעט כל יום, מספרים דברים אחד לשני 
חשוב לציין ששנינו תפוסים, לי טוב עם החבר שלי אבל הוא אומר שהוא לא בטוח בקשר שלו עם חברה שלו 
הם ביחד שלוש שנים וגרים ביחד 
אצלנו זה הרבה פחות זמן אבל קשר טוב ועמוק (לא גרים ביחד)  
היינו ביום כיף מהעבודה שכלל שתייה ושנינו שתינו ויצא שהוא אמר שרוצה אותי בקטע מיני מהיום הראשון שהגעתי  
זה החמיא לי וגרם לי גם להתחיל לחשוב עליו בצורה הזאת 
אבל לא קרה כלום חוץ מחיבוק בינינו 
מאז אנחנו מדברים יותר מדי פעם מתחבקים  
הוא מחבק אותי חזק בדרך כלל להרבה זמן ונותן הרגשה שהוא לא רוצה לעזוב אותי 
השיחות לא גולשות לקטע המיני  
בסך הכל נראה לי שיחסית עבר לו 
אבל כל פעם שאני רואה אותו אני מרגישה שבא לי שהוא יזיין אותי  
אני לא רוצה לחשוב על זה אבל זה מה שקורה לי כל הזמן  
ובגלל העבודה אני רואה אותו כל יום וכל יום מדברים וזה קורה  
האמת חשבתי להפסיק לדבר איתו אבל זה יהיה מוזר להתרחק פתאום וחוץ מזה הוא מעביר לי את הזמן בעבודה וזה כיף 
מה לעשות?"
127462,1227,2016-07-18 19:47:00,"הסיפור הוא כזה. הייתי תלמיד מצטיין בתיכון והוצאתי פסיכומטרי מאוד גבוה. מיד אחרי השחרור שכלל קבע של שנה וחצי טיילתי המון והופ הגיע גיל 25 והבנתי שחייב להתחיל ללמוד. תמיד ידעתי שיש לי יכולות גבוהות ושאני מאוד ריאלי וגם מאוד הומאני ושיודע ללמוד. בתקופת התיכון אני זוכר שמאוד אהבתי גם אזרחות והיה נראה לי שבעתיד מעצם ההתעניינות וגם בגלל שאני בנאדם מאוד ייצוגי ורבלי ושאוהב עבודה מול - משפטים יתאים לי ואצליח להיות עורך דין ממולח ומוצלח . חשבתי על משפטים חשבונאות בתל אביב או משפטים עם צירוף אחר .וההורים מתנגדים בתוקף אומרים שהמקצוע מוצף שהוא מת ושאלך ללמוד רפואה או הנדסה . רפואה דורשת מלא הקרבה והנדסנ אני לא הארדקור חולה פיזיקה ומתמטיקה, ניסיתי לתכנת קצת לבד וממש לא התעניינתי ושומע מאנשים על כמה הנדסות באוניברסיטה מזעזע אחוזי נשירה ומלא חדווא ושיט. משפטים חשבונאות או משפטים עם חוג אחר נראה לי כמו מקצוע שאוכל להצליח ולסלוט בו . אבל ממש קשה לי שמרימים גבה על מה שאלמד חשוב לי יוקרה וגם שארוויח שכר מכובד. אם הרי השוק מזעזע אז למה אנשים ממשיכים ללמוד? השוק מוצף בוגרים פח של מכללות שקר שתמורת כסף קיבלו דיפלומה , אני תמיד התייחסתי לתל אביב והעברית כאליטה ומי שלא בוגר המוסדות האלה מציב את עצמו במקום בעייתי . מה לעשות? ללכת בעקבות העניין והנטיה או לוותר? אני לא רוצה ללכת לתואר לא שלם כמו הנדסה ולמצוא את עצמי בבקשה תעזרו לי .."
127463,872,2016-07-18 19:39:00,"היי כולם, לפני בערך 3 חודשים נפרדתי מהאקס שלי אחרי שנתיים של זוגיות ועוד 8 שנים שהיינו החברים הכי טובים בעולם... בתקופה שממש אחרי הפרידה הרגשתי קצת אבודה ומבולבלת ולפני כמה שבועות התחיל איתי בפאב מישהו מקסים שנתתי לו את הטלפון שלי ורק אחר כך גיליתי שהוא בן 21. 
הוא גר קצת רחוק ממני (הוא היה בפאב בעיר שלי כי הוא ביקר חבר) וממש עכשיו השתחרר מהצבא... אבל הוא מקסים ויש לנו מכנה משותף מטורף, נפגשנו מאז עוד פעמיים והבחור גורם לי לחייך כמו שלא חייכתי תקופה ארוכה. 
חשוב לי לציין שאני באמצע התואר שלי עם עבודה מסודרת, בקרוב אני טסה לחודש לארה""ב עם חברה, והוא מתכנן טיול ארוך להודו. כרגע זה לא קשר מוגדר וחשוב לי שלא להיכנס להגדרות שיסבכו אותנו.. אבל אף פעם לא יצאתי עם מישהו צעיר ממני וחברות שלי מתנהגות כלפיי בשיפוטיות יתר, חלק חושבות שזו תקופה שאני צריכה לעבור בגלל הפרידה וחלק צוחקות עליי שאני קוגרית. זה מצחיק בפעמיים הראשונות ואז זה כבר מציק. 
בקיצור, מה אתם הייתם עושים?"
127470,2010,2016-07-18 19:17:00,"אני ומישהו מהעבר שהיינו בקשר לפני 9 חודשים חזרנו לפני שבועיים מיוזמתו.  אני שאלתי כאן לא מזמן על זה שהוא חזר ""טעון""  עליי ואמר לי שהוא אוהב אותי ושהוא לא שכח אותי (בהכי הפתעה) ונרתעתי מזה בגלל שזה היה נשמע לי מוזר בתור התחלה כי לא האמנתי שזה יכל לקרות אחרי הכל.. אך התברר לי שהוא באמת התכוון לזה והחלטנו פשוט לתת לזה הזדמנות.   
הרקע שלנו בעבר היה קצת לחוץ ותקופה לא טובה שלי,  ואני זאת שנעלמתי וחתכתי כשהבנתי שזה היה כבד עליי (דיבר על חתונה).  כרגע הרגשות שלי התחילו להתערבב. אני באמת מרגישה שאני מחוברת אליו ופיתחתי רגש כלפיו ועדיין החשש שלי כאילו עומד להתפוצץ בכל רגע...   
מרגישה שהוא מרוחק כבר מאז מוצ""ש (הוא שומר שבת).  
אני יודעת שהוא התחיל עבודה חדשה ומעיקה עד 10 בערב עד לפני שבוע אבל למרות זאת אנחנו קרובים אז יש לנו איזה חצי שעה -  שעה להיפגש ואז הוא לוקח את אביו לטיפולים (אבא שלו חולה במחלה ועליו ""הנטל"") .  
הבחור סובל מחרדות מאז צוק איתן (הוא נפצע במלחמה) ואני גם מרגישה עליו את הבעיה הזאת עם כל מיני סיטואציות.. שאומנם לי הם פחות מפריעות אבל ייתכן שלקשר אולי כן.  
אולי גם ההרגשה שלי היא שפשוט הוא הצליח להשיג את מה שרצה ממני כל התקופה שנעלמתי לו..  את היחס שלי,  את האהבה שלי והרצון שאהיה שלו.  
ואני באמת נתתי לו את ""התיקון"" שלי  ומרצוני מניסיון לתת צאנס לקשר הזה.  
בשבוע הראשון היה הוא זה שחיזר, אבל אחרי זה אני יזמתי עד מוצ""ש את כל השיחות.  שבוע שעבר נעלמתי לו ליום לבדוק אותו ואני לא יכולתי להתאפק ושלחתי לו בוקר טוב קצת יבש וכמובן החזיר לי בתוספת של התגעגעתי.  אני מרגישה שפתאום אני מובנת מאליו...  כאילו הוא כבר השיג אותי ב100 אחוז.  
עוד דוגמה לריחוק זה שלא הספקתי להגיד לו בזמן ""שבת שלום""  (למה הוא לא חשב על זה לפני אם הוא מתנתק ממני ליום וחצי? קצת קטנוני, נכון ?) אז לא משנה,  במוצ""ש החזיר לי אימוגי של נשיקה ואמרתי לו שבוע טוב.. ומאז לא דיברנו...  וזה מה שמציק לי.  
לא יודעת כבר אם טעיתי בזה שהאמנתי לו על אף שהרגשתי את הכנות שלו.  
או שאולי הקשר נכנס לפול גז ויחד עם כל מה שיש עליו זה משתבש.  
בתאכלס.. אני עם יד הלב ויודעת שברגע שאשלח לו הודעה הוא לא יסנן אותי..  אבל אני גם מרגישה שאני צריכה את תשומת הלב שלו ושהוא יתעניין בי בחזרה.  
 
מה קורה פה?  מה לעשות איתו?  
אשמח לעצות"
127480,958,2016-07-18 18:55:00,"היי :) אני בת 17 שיצאה לפני כמה חודשים מקשר לא בריא (קשר ראשון רציני) שהיה בסביבות ה6 חודשים. באותו הזמן הייתי מאוהבת מעל הראש אבל לא ראיתי שהבן אדם עושה לי רע (הוא ילד עם מוניטין של 'שרמוט ובוגד' היה נרקומן ונהייתי רזה מאוד בקשר שלנו ואפילו העיפו אותי מהבית יום אחד בגלל שלא הסכמתי להיפרד מימנו) ובסופו של דבר יצאתי הטיפשה בכך שהוא בגד בי אחרי כל הלחימה שעשיתי בשבילו... לא יכלתי להמשיך את הקשר אבל ניסיתי להיות ידידה, אבל ראיתי שהוא חוזר לדברים שהיה כל כך ידוע בגללם ופתאום הוא ניתק את הקשר. זה אמור להסתיים שם, אבל אני ממשיכה לחשוב מה לא היה בסדר בי שכל זה היה חייב לקרות. וזה מחרפן אותי גם כשאני יודעת שלא כדי לי לחשוב על זה.. ועכשין אחרי כל הזמן הזה חברים שלו באים אליי ואומרים שהוא מדבר עליי בברים ומתגעגע ואוהב ולא יכול להאמין שאיבד אותי.  וזה כל כך מבלבל.. אני כבר לא יודעת מה לעשות- לנתק אותו מהחיים שלי סופית ולהאמין שמישהו טוב יותר יגיע? כי אלרי כל הזמן הזה אף אחד לא ניסה להכיר אותי אפילו ברמה של חברה .. או לדבר איתו? 
תודה :) (וסליחה על החפירה)"
127445,2088,2016-07-18 18:31:00,"אני עובדת בתור פקידה באיזשהו מקום משעה 8 וחצי עד 4. מורידים לנו חצי שעה על הפסקה אז בעיקרון אני עובדת 7 שעות מראשון עד חמישי ומקבלת 26 לשעה. מי שעושה את החישוב אז בעיקרון יוצא לי 3700, 3800 כולל נסיעות. וזה בהנחה שאני מגיעה כל החודש!! אם יצא יום שאיחרתי, יצאתי שעה לפניי או שלא הגעתי בחודש- אני גם מגיעה למשכורת של 3500. למרות שאני גרה עם ההורים ומבזבזת רק על עצמי, אני מרגישה שהמשכורת שלי לא מספיקה לי לכלום. התרגלתי לרמת חיים מסויימת ולמשכורות של 5500 לכל הפחות, ומעל 6000 לכל היותר! אני מרגישה שזה ממש מעט.  
ולמה אני בהתלבטות? כי יש 2 גורמים שבגללם לא בא לי לעזוב.  
הראשון הוא שהמיקום ממש ממש נוח לי - כעשר דק' מהבית, וזה גורם לזה שאני לא צריכה להסתבך עם תחבורה ציבורית, לחכות לאוטובוסים, אני מגיעה מהר למקום ומגיעה מהר הביתה (בערך ב4 ורבע אני כבר בבית!) שזו נוחות עצומה ולא הטרטרות באוטובוס. 
הדבר השני הוא שהשעות ממש נוחות לי, כי אני לא קמה מוקדם, קמה מאוחר, ומצד שני אני מסיימת נורא מוקדם וכל היום לפניי, יש לי הרבה זמן לסידורים, לטייל, לחברות, לחבר שלי, סתם לנוח בבית, יש לי פשוט המון זמן מיותר בזכות זה שמסיימים בארבע. (למרות שאני לא יודעת אם זה דבר כל כך חיובי, כי כשמסיימים כ""כ מוקדם בגלל שכל היום לפניי- מבזבזים יותר, כי מחפשים לאן ללכת ואיפה לטייל, ואז המשכורת הממש זעומה לא מספיקה, וזה כמו גלגל. מצד שני זה גורם לך לבזבז יותר, מצד שני יש פחות כסף) 
אבל בגלל המיקום והשעות שממש נוחות לי, אני מתלבטת עם עצמי אם כדאי לעזוב שם או לא.  
יש רגעים שאני מקבלת את המשכורת אני אומרת לעצמי שאני עוזבת (כי התרגלתי למשכורות של 6000 וכאלה, שאני יכולה לקנות בגדים ונעליים ושעונים ותכשיטים ואוכל ובשמים ומה לא, ועם כל הבזבוזים האלה עוד לשים בצד אלף שקל לקופת חיסכון, ועוד נשאר לי עודף בסוף החודש!) ופה אני פשוט קונה בגדים וכבר נכנסת לברוך. ולרדת ברמת החיים זה לא ממש לגיטימי לי.. 
 
מצד שני כשביררתי על עבודות רוב העבודות היו שירותי לקוחות. בחברות ביטוח וכאלה, שירותי לקוחות קשים- שזה אומר 7 שעות שיחה ביום, כל היום בטלפון, לשבור את הראש עם אנשים ועבודה הרבה יותר קשה ממה שאני עושה. כי אצלי בעבודה אני רק פקידה בלי טלפונים והעבודה ממש קלה. ובשירותי לקוחות זה גם הרבה יותר שעות, ואני אסיים בערך בחמש אבל מצד שני בשירותי לקוחות אני יכולה להגיע לשכר כמו שאני מצפה, אז באמת שלא יודעת מה עדיף.."
127438,842,2016-07-18 18:30:00,"אני כבר מרגישה מוכנה מאוד מבחני מינית ועד היום לא יצא לי לעשות דבר בעניין לאחרונה פגשתי מישהו דרך הטינדר. הוא בערך בגיל שלי, התחלנו לדבר ודברים התחילו לזרום.  
הוא יודע שני בתולה ובאמת אמר שילמד אותי מה שצריך ושנעשה דברים בקצב איטי.  
הבעיה היא שאנחנו גרים חצי שעה אחד מהשניה. הוא יבוא לאזור שלי אבל אי אפשר להיות אצלי בבית כי כל המשפחה נמצאת ואני לא יכולה פתאום להביא מישהו הביתה וגם אצלו אי אפשר. הוא עם אוטו ונוכל לנסוע לאנשהו שקט ובאמת להיות שם (לשכור חדר או דבר כזה פחות מתאים) השאלה איפה באזור תל אביב יש מקום שקט שלא יפריעו לנו.  
חוץ מזה מה אני אמורה לעשות לפני בהתחשב שלא עשיתי שום דבר לפני אוראלי, סתם למישהו ביד וכמובן סקס מלא. להשאיר חלק הכל, חצי?  
אני הולכת למסיבה עם חברות לפני, להביא משהו מיוחד? איפה אני שמה את התחתונית שאני אלבש באותו הערב? להביא עוד אחת לאחר כך? 
 
אני אשמח לכל עצה או טיפ ממכם כי בא לי להרגיש מוכנה לאירוע"
127443,1019,2016-07-18 18:23:00,"היי,שלום לכולם אני לין אני בת 18. 
אף פעם לא היה לי כל כך חברים אולי היה לי אבל זה היה בזכות שהם היו מסתלבטחם עלי לפעמים אז פשוט היתי זורמת איתם  
ובגלל זה כולם אמרי שאני בנאדם שאפשר לצחוק עליו והוא  לא יפגע ויצחקו איתם אבל אני כן נפגעתי ובכיתי בתוך עצמי  
טאז פשוט היה פעמים שהיתי בוכה ליד כולם מכל ערה והיתי רגישי אבל תמיד היו לי איכשהו חברים  
ועכשיו בחצי שנה האחרונה מצאתי עבודה בשביל לעזור לאמא שלי ושם אפילו הבוס לא סמך עלי את כולם הוא לימד קופה ואותי לא  עכשיו הוא לימד אותי אבל הוא לא נותן לי בכלל משמרות הוא לא מספיק סומך עלי בגלל שאני חלשה ורגישה וניראללי גם בגלל זה אין לי עכשיו כל כל הרב חברים אין לי כל כל עם מי ללכת ובגלל זה אני רוצה לעבוד לא בגלל הכסף בגלל שאין לי עם מי להיות ועבודה לפחות יש לי שם חברה יש לי שם אנשים שאומנם גם צוחקים עלי לא סומכים עלי אבל עדיין מישהו שמכיר אותי  
אז אחרי החפירה יש לי שתי שאלות  
 
1.איך לגורם לאנשים להתחבר אלי  
כי אני לא כזאת חברותית  
אני גם אשמה בזה שאין לי חברים כי אני מרחיקה אותן בגלל שהם צוחקים עלי לפעמים  
2.איך לגרום לאנשים לבוס שלי לסמוך עלי ובכללי לאנשים"
127410,806,2016-07-18 17:55:00,"שלום לכולם.. אתמול הילד שלי חזר מהגן עם סימני ציפורניים על היד, ששאלתי את הגננת מה קרה לו היא התחילה לגמגם ולהגיד שהילד נפצע מגדר שהייתה לא תקינה בגן, אני לא מקבלת את התשובה הזו מכיוון שזו לא שריטה אלא ממש סימן של 3 ציפורניים של אישה בוגרת, בנוסף היא אמרה לי שילד נוסף נפצע באותו יום מאותה גדר, מה שמעלה עוד סימני שאלה כמו.. אם ראו שילד אחד כבר נפצע מאותה הגדר, למה לא הרחיקו במיידי את כל הילדים מהחצר על מנת שהגדר לא תפצע ילדים נוספים?? עוד דבר מוזר הוא שבדרך כלל הגננת מתקשרת על כל פליצה קטנה.. הפעם, לא רק שלא התקשרה היא גם טוענת שנתנה לו ""תרופה(למיטב הבנתי משחה),שהיא מרחה לו על היד"", העובדה שהיא משקרת ברורה כשמש, השאלה היא האם להגיש תלונה במשטרה ולדרוש את ההקלטה ממצלמות האבטחה באותו היום? או לנסות להוציא את האמת לבד בנתיים? כמובן שהיום אני אגיע ואקליט כל מה שהיא אומרת לי. 
תודה לכולם על ההתייחסות!"
127422,881,2016-07-18 17:33:00,"שלום ask people. 
לאחרונה לי ולאחותי הייתה תקופה קשה עם אמא שלי והיא הפסיקה להתייחס אלינו ורק משתמשת בנו בשביל דברים שהיא צריכה כגון: אני טכנאית פלאפונים והיא מתקשרת אליי בשביל שנתקן לה את השקע טעינה שלה. 
אחותי לא רוצה לדבר איתה בכלל ודיברה איתה רק בגלל ה״אחות״ הקטנה שנולדה לה שבכלל נולד בזכות היצור הנוראי הזה שנקרא חבר שלה. 
אני סבלתי במשך 8 שנים את אמא שלי ואת החברים שלה ואחותי עכשיו רוצה להיות חייל בודד ואמא שלי שיקרה לצבא שאחותי רק מקנאה בחבר של אמא שלי ומקנאה במשפחה החדשה ועושה הכל בשביל שאחותי לא תהיה חייל בודד כי היא מפרנסת את עצמה . 
(דרך אגב אני גרה אצל סבתא שלי ואני מפרנסת את עצמי ואחותי מדי פעם עוזרת לי.) 
אני כבר לא רוצה שום קשר איתה וכבר קשה לי לענות לה או לעזור לה. 
עכשיו יש לי שתי אופציות, או לצאת עליה שלא תפנה אליי יותר ושהיא הרסה לי את החיים או שפשוט לא לענות לה. 
עכשיו כל האנשים שנותנים לי למינהם עצות בשעות הקרובות,תתנו עצות מהלב ואל תשפטו. תודה רבה."
