question_id,length,text
200001,1624,"אז כן יש לי שני מצבים, כשאני בבית עם המשפחה שלי אני פחות בסטלה מהחיים ואני הילדה הגאונה שתמיד הייתי, וכשאני עם חברים וצוחקת מהכל וכמעט תמיד בסטלה מהחיים וממש קשה לתפוס אותי רצינית במצבים שקורים בחוץ.  
כשהייתי קטנה יותר הייתי הילדה הכי מצטיינת בשכבה אבל בשנתיים שלוש האחרונות הפסקתי ללמוד והוצאתי מלא נכשלים ועכשיו אני בכיתה י מבר, וכשאני עם חברים אני תמיד אוהבת לשים את הבעיות בצד ולהתעלם מרוב הדברים שקורים כי אני רק רוצה פשוט להנות ולצחוק. 
אם יש מבחנים או אירועים אני כמעט תמיד שוכחת מהם וחברות שלי חושבות שאני סתומה בגלל זה. מה שהן לא מבינות זה שלא אכפת לי מתי יש מבחן כי אני יודעת שתוך שנייה של הכנה למבחן אני מוציאה מעל 90. הסיבה היחידה שהלכתי למבר זה בגלל שאני צריכה פחות לחץ ובגלל שהממוצע שלי בסוף כיתה ט התאים רק לכיתת מבר. 
חברים אחרים שלי מהשכבה צוחקים עליי שאני במבר, וזה גם לא מעניין אותי ממש כי זה היה צפוי. 
כל הזמן כשיש מצבים שצריך להילחץ וכולם לחוצים ושמים לב שאני לא לחוצה, גם חושבים שאני סתומה ואטומה. אני פשוט לא רואה סיבה להילחץ, בעיקר בגלל שאם נלחצים אי אפשר לעשות שום דבר כמו שצריך ואני תמיד מאמינה שאם רגועים כמעט הכל יכול להסתדר. 
לא ממש אכפת לי מה אני עושה ומה יגידו עליי אם אני אעשה משהו, כי אני עושה מה שטוב לי כרגע ויש לי שתי חברות שאני מאמינה שתמיד יהיו לצידי לא משנה מה אני עושה כי ככה זה היה עד עכשיו ואני לא רואה סיבה שזה ישתנה. בסוף התיכון הדיבורים האלה לא יהיו יותר ולא יעניינו אף אחד ויש לי חבר עכשיו בכל מקרה.. מי שמכיר אותי באמת יודע מי אני, אבל אני לא צריכה כל כך הרבה אנשים שיכירו אותי ככה כי אני רוצה רק להנות ולצחוק עם החברים שלי. 
אז דבר אחד אני לא מבינה, למה שאנשים יחשבו שאני כל כך סתומה וטיפשה רק בגלל שאני קצת מעופפת, לא מקדישה תשומת לב ולא מעניין אותי הדברים שקורים רוב הזמן?"
200002,839,"התגייסתי לפני חודשיים היה קשה נכון טירונות זה לא קל. הייתי חודש בהמתנה בבסיס אחר, והיום הגעתי להתחיל בעצם את השירות שלי. חזרתי הביתה והבנתי שאני לא רוצה שקשה לי ממש נשברתי! בחיים שלי שלא הרגשתי ככה.. הצבא הזה הרס אותי, אני לא אחת שמתפנקת, התחלתי לשכוח דברים, אנשים, סיטואציות, חולמת בלילות על הצבא, לא נרדמת כמו שצריך, דפיקות לב.. לפרט עוד? אני מוסיפה משהו שאולי יעזור לכם להבין אולי למה אני ככה - אני נערת מקאם. יש לי קשיי הסתגלות, גם בתיכון הייתי במסגרת שונה מבית ספר רגיל. עד עכשיו עשיתי רושם שהכל בסדר והתרשמו ממני מאוד ואפילו המליצו לי לצאת לתפקיד שלא כולל רק פקידות אלא משהו עם מקצוע לעתיד. אבל אני באמת לא רוצה להישאר בצה״ל . ואני מנסה להרגיע את עצמי מהצהריים אבל לא מצליחה. איך אוכל לקבוע תור לקבן? זה שאני נערת מאקם יעזור לי לצאת מהצבא? מישהי יכול לתדרך אותי מה לעשות ומה להגיד? אני באמת מרגישה שאין לי לאן לפנות.. בבקשה תעזרו לי."
200005,825,"שלום רב, 
לאשתי ולי יש כלבת שיצו מקסימה בת 8 חודשים.  
אנחנו מאוד אוהבים אותה. (אשתי רצתה להביא כלב. במקור אני לא רציתי. אחרי מסע שכנועים מצידה, הסכמתי והבאנו אותה). 
לאחרונה הכלבה התחילה לעשות נזקים בבית. נושכת קירות, רגליים של שולחן, משקופים וכו'). 
עוד לפני הנזקים, השקענו בכלבה באילוף מאות שקלים. אנחנו קונים לה את האוכל הכי טוב שיש, יש לה צעצועים ובאמת לא חסר לה כלום. 
אנחנו לא בבית הרבה שעות. אני יוצא מהבית ב 7 וחצי וחוזר אחרי 12 שעות. אשתי חוזרת הביתה אחרי 8 שעות בערך. 
קרוב משפחה שלי מוציא את הכלבה לטיול יום יום. היא ממש חכמה ורגישה. 
אשתי היום החליטה שהיא לא יכולה עם כל הנזקים, למרות כל ההשקעה בכלבה, והיא רוצה למצוא לה בית אחר. 
אני חצוי בדעתי: מצד אחד אני בהחלט יכול להבין את הכעס של אשתי על הנזקים לבית. זה גם מעצבן אותי. 
מצד שני, אני ממש אוהב את הכלבה, ורואה כמה היא זקוקה לנו ובמיוחד לי. 
אשמח לעצה. 
תודה"
200007,3348,"הייתי בזוגיות שנמשכה כמעט חצי שנה,הכרנו דרך ההורים שהם חברים. 
הבן אדם מדהים,קשוב,מכבד,חכם נורא ופשוט כיף להיות בחברתו אבל הבעיה הייתה שהראש שלו מאוד ילדותי ובחיים לא הייתה לו חברה וזה התבטא במלא דברים שהיו פוגעים בי,כל הזמן הייתי מדברת איתו על זה כי לא מיהרתי לסיים את הקשר,  
הייתי נורא סבלנית איתו כי באמת הוא היה בן אדם טוב אבל אחרי המון שיחות בפועל הוא לא שינה כלום. 
אם זה להזמין אותי לבית שלו,לקידוש אחרי שהוא נמצא מלא בבית שלי ומוזמן לארוחות הוא לא היה מזמין וכשדיברתי איתו על זה הוא אמר לי שלא נוח לו בבית שלו כי קידוש אצלו זה לאכול ואז כל אחד לחדר שלו. 
אבל פשוט לדעתי זה לא תירוץ כי בתחילת הקשר הוא כן הזמין אותי וזה התבטל בגלל משהו שההורים שלי ושלו עשו ומאז הוא לא הזמין אותי. 
הוא בצבא וכשהיה חוזר לא היינו עושים שום דבר יחד מבחינת יציאות,היינו כל הזמן בבית ואני אחת שאוהבת את הבית אבל לפעמים צריך מידי פעם לצאת. 
 שידברתי איתו על זה הוא פעל ליציאה פעם אחת וזהו לא השקיע בזה יותר. 
בנוסף להכל הוא בא ממשפחה נורא מבוססת,קרה,מרובעת,ומשעממת ולכן הוא גם כזה והיה לי נורא קשה להוציא ממנו חום,תקשורת,פתיחות דרך אגב לא הצלחתי כי לדעתי הוא לא יודע מה זה תקשורת בזוגיות, לא הייתי מרגישה שאני יכולה לבוא ולשפוך לו את הלב שלי בסוף יום. 
הוא מגיע ממשפחה מאוד קרה ולכן גם הוא בן אדם קר וזה מתבטא בהתנהגות שלו אלי אם זה להניח עליו את הראש ולא לקבל בחזרה ליטוף או כל דבר אחר,אם זה להרגיש ממנו דאגה, 
למשל הייתי אחרי עקירה בשן וישנו יחד ובבוקר אמרתי לו שאני הולכת לרופא כי נורא כואב לי והוא שאל אותי באיזה שעה וועניתי לו שב11 והוא פשוט ענה לי אה טוב יש לי זמן לישון והוא פשוט המשיך לישון..אני יודעת שבתכלס אין לו מה לעשות אבל ציפיתי שהוא יקום ויהיה איתי אולי ינסה להסיח את דעתי מהכאב אבל קרה ההפך וזה ממש פגע בי. 
ערב לפני גם היו לי את הכאבים אבל פחות והוא בא אלי רעב ונזכר ב2 בלילה וקמתי עם הכאבים שלי והכנתי לו אוכל כי אין דבר כזה אצלי,ככה גם לימדו אותי! זה כל כך פגע בי! ווכשדיברתי איתו על זה הוא הבין להתחיל לדאוג אבל לא הרגשתי שזה בא ממקום שהוא באמת דואג הרגשתי שזה בגלל שאמרתי לו תדאג לי וזה פשוט לא עובד ככה אם זה לא בא בטבעיות איך זה יבוא פתאום? אני טועה? 
הייתה לו ידידה נורא טובה בתיכון שכמעט היה בניהם משהו בתיכון אבל לא קרה ולקראת הצבא הם התרחקו טיפה ותמיד היא שאלה אותו לה הוא לא שולח לה הודעות ומתחילת הקשר שלי איתו חשדתי בה אבל לא דיברתי עד שהיא פעלה והשתמשה בו בנושא אחד כדי לעצבן אותי והשיחות שלהם בווצאפ היו עם מלא מחמאות וחיוכים ולבבות שפשוט דיברתי איתו על זה והוא הציע להתרחק ממנה בגלל שזה פגע בי והרגשתי שהוא נורא מתבאס מהעיניין ומרגיש פיספוס,לכן שאלתי אותו מה הוא מרגיש לגבי זה כי לא רציתי שהוא ירגיש שאני כופה עליו לעשות משהו שהוא לא רוצה והוא אמר לי שבאמת הוא לא רוצה שאני יפגע מהנושא כי הוא לא מרגיש אלייה כלום(לא אומר שהיא לא מרגישה)ולכן הוא יתרחק ממנה טיפה וזה בסדר כי זה לא חשוב לו. 
אחרי כמעט חצי שנה של כל הדבר הזה החלטתי שאני נפרדת ממנו דרך אגב שאבא שלי ואמא שלו דיברו אחרי הפרידה ואבא שלי הציע לגשר אמא שלו אמרה שאין צורך כי הבן שלה מושלם ושהוא עשה מעל ומעבר בשבילי(ככה גם הבן שלה טוען) ושידברתי איתו הוא פשוט אמר שהוא לא מבין אותי ולמה אני נפרדת ממנו בפתאומיות ומה שאני אומרת זה הגזמה ובנוסף אמר לי שהוא אפילו ""הקריב את ידידה"" בשבילי כשפועל הקשר שלהם לא היה קרוב והוא בעצמו אמר שלא בא לו לשלוח לה הודעות ובעיקרון זה הדבר שפגע בי  
אני כן אוהבת אותו, ניפרדתי ממנו לא שלמה אבל ידעתי שזה הדבר הנכון בשבילי אבל עדיין עוברות לי חשבות בראש שאולי פיספסתי בן אדם טוב כי הוא כן היה כזה ולא מרגיש לי שאמצא בחוץ,אולי הייתי יותר פזיזה אולי הייתי צריכה לתת לזה עוד זמן ו""ללמד"" אותו יותר אני לא יודעת מה לעשות האם צדקתי באיך שפעלתי?"
200008,922,"היי שלום קצת רקע עלינו קודם, אני בן 21 היא בת 18, שנתיים ביחד סך הכל, זוגיות כיפית ואוהבת שיודעת עליות ומורדות ובזמן האחרון יש לי חששות שהיא והמנהל מתחבבים קצת יותר מדי. 
חברה שלי עובדת במקום העבודה שלה בתור קופאית כבר בערך שנה פלוס מינוס ותמיד היא שנאה את המנהל הספציפי הזה גם אני מכיר אותו ותמיד בפה אחד הסכמנו שהוא לא אחלה בשום צורה. 
בזמן האחרון אני שומע ממנה ומהצד שהיא משתפת על זה שהם נהיו ״סבבה״ יותר והוא נהיה נחמד וכיף לה לעבוד איתו, הוא משבץ אותה במשמרות ביחד איתו בבקרים לפעמים והיא סיפרה לי שהוא גם לקח אותה מהבית כי לא היה לה איך להגיע. 
לאט לאט זה נכנס לי יותר ויותר לראש ביחד עם הסיפורים שהיא מספרת עליו אחרי עבודה והבנתי שהם נהיו יותר חביבים אחד לשני. 
המנהל לצורך העניין מהמגזר וזה מה שמטריד אותי ממש. 
ראיתי שהם מדברים יותר בפתיחות ובזרימה כזאת בקשר לעבודה בווצאפ וזה גם היה לי נראה קצת מוזר. 
אני אוכל סרטים? סתם חסר ביטחון? אני לא אוהב את איך שזה נראה מהצד בכלל  
תשובות לעניין בבקשה לא לפרסם הלאה תודה"
200014,993,"יש לי שני חברים ממש טובים שיוצאים כבר חודשיים וחצי, נקרא לו א ולה ל. אז א ו-ל ממש אוהבים זה את זה, והם שניהם גדולים ממני בשנה; בכיתה י. לפני שבוע בערך הם שכבו, כי היא הרגישה מוכנה, וכן, זו הייתה לגמרי החלטה שלה ולא תחת לחץ או משהו אבל זה לא העיקר.  עכשיו גם הוא וגם היא חברים ממש ממש ממש טובים שלי, ומספרים לי הכל בערך,  אבל הם הסכימו ביניהם שלא להגיד לאף אחד. לפני יומיים בערך הם שכבו שוב, והקונדום נקרע להם הזמן הפרו-גמירה של א(כלומר כשמתחיל לצאת שפיך אבל רק מעט ) . עכשיו ל פנתה אליי ודיברה איתי על זה אתמול, כי היא פחדה והייתה צריכה ייעוץ, והשביעה אותי שלא להגיד ל-א שהיא אמרה לי. היום א אמר לי על זה, ואז הוא היה צריך ללכת להתקלח, אבל קודם אמר לי שלא לספר ל-ל שהוא אמר לי,  ואמרתי לו שבסדר.  
אני ממש לא יודעת עכשיו מה לעשות כי זה יצא שאני צריכה לשקר לשניהם בנוגע למה שהשני אמר לי, ואני ממש כבר לא יודעת אם להגיד להם או לא, טו להגיד לה כי היא אמרה לי קודם או פשוט לשקר לשניהם, מרגישה אבודה, תודה לעוזרים  . 
 
נב: אם תוכלו שלא לכתוב על זה שזה לא בסדר לשכב בגיל כל כך צעיר אני אודה לכם...."
200017,810,"יש לי בעיה שהטרידה אותי תקופה ארוכה ועכשיו היא חזרה עוד פעם, אני בן 17, נראה רגיל לגילי מבחינת התכונות החיצוניות, גובה סביר, בריא אבל יש עניין אחד שמטריד אותי - הפחד מלשלוף את הכלי שלי בפומבי. 
 
אני מדבר על הגודל שלי כשהוא ישן כמובן.  
מנסה להסתיר אותו כל הזמן בצורה כזו שהוא לא יבלוט מהמכנס בבית ספר, משתין בתאים כל הזמן, ולהסתכל עליו לפני מקלחת או כשאני משתין לפעמים מחלחל בי היגעלות.. והפחד הכי גדול שלי זה שמישהו יום אחד יעשה עליי מתיחה ויוריד את המכנסיים שלי עם התחתונים באמצע הכיתה וכולם יראו את הקטן שלי כשכל תשומת הלב עליי.  
 
מבינים, אני מנסה לחתור כאן לזה שסך הכל רק רוצה שהוא יהיה עבה יותר בגודלו ואני אוכל לחיות בשלום עם עצמי אבל מה לעשות שאני לא יכול לחמוק מהעניין הזה. 
האם גדילה גופנית או ויטמינים יכולים לעזור לבעיה? אני נכנס חזק למכון עכשיו והתזונה לא בעיה בשבילי, תודה מראש. שנה טובה לכולם."
200019,1447,"היי.. לפי השם נראה לי זה הכי קרוב לתיאור של מה שאני מרגישה.. 
לאחר יום חדש שאני קמה עם מוטיבציה וכוחות לשמור על תזונה נכונה.. הכל נהרס באיזה ערב גורלי אחד שבו אני אוכלת יותר מכמות הקלוריות המתאימה לגילי.. כמות הקלוריות עלולה להגיע קרוב ל3000 קלוריות בנוסף לשאר הקלוריות שאכלתי בהתאם אותו יום. אם אני מתחילה לאכול אני חייבת לסיים הכל.. אני מרגישה שאני הרסתי ולאחר כמה דקות מרגישה שזה לא נורא ולוקחת עוד משהו וככה למשך ל הערב עד השינה.. 
אני מנסה ללכת לישון בשעה נורמלית.. אבל כשהבולמוס בא.. אני לא ארדם עד שאספק אותו.. ולספק אותו.. זה לא נפסק.  
אני קמה בבוקר חסרת אנרגיות ומבטיחה לעצמי שזו הפעם האחרונה.. מה שאני מבינה שזאת פשוט אשליה שאני מספרת לעצמי כל פעם מחדש. 
אני לא יודעת מה לעשות. אני לא סיפרתי להורים. זה לא דבר שאני מסוגלת לשתף אותם. ולא פניתי לעזרה מקצועית כי זה בטוח רק דרך מבוגר שזה הורה.. 
אני פשוט בולסת עד מצבים הזויים שבכל היום למחרת יש לי גזים והרגשה נוראית בקיבה.. אני מרגישה שאני גומרת אותה.  
אני הורסת את עצמי. 
אני אוכלת כמויות נורמליות ביום יום של אוכל ולא בדיאטה או משהו.. אני באמת כבר איבדתי כל תקווה..  
חקרתי באינטרנט על פיתרונות ולמה זה קורה.. עם כמה שאני עובדת על זה.. אני לא מסוגלת. אני יכולה לשמור על תזונה טובה שבועיים גג ואז בערב אחד.. הראש נמחק. 
אני כל כך אשמח אם מישהו יוכל לעזור לי. אני מרגישה חולה. הגוף שלי חולה. הראש שלי חולה. הנפש שלי חולה. 
אני מתחננת לכל עזרה שהיא.. אני לא מסוגלת לסבול את זה. 
תודה. 
מה אתם יכולים להציע לי דבר הכי קטן שיעזור יתברך.. תודה על הקריאה. אני לא מרגישה שאוכל לצאת מזה מתישהו"
200023,839,"אני בת 22 ויצא לי לצאת לכמה דייטים עם כל מיני בנים במהלך השנים. אבל אף פעם לא הייתי בזוגיות ואף פעם לא התאהבתי. הקשר הכי ארוך היה של 5 מפגשים כך שניסיון אין לי הרבה. וידע בכלל אין לי. יצאתי עם כמה בנים ומתוכם עם שלושתם הגעתי לשלב של הנשיקה. לפי סיפורים של אנשים אחרים שמעתי שזאת תחושה כייפית. אבל לי הנשיקות אף פעם  לא גרמו להרגיש כלום ולא גרמו לי התרגשות. האם זה מוזר? אם אני לא מרגישה כלום זה אומר שאין לי משיכה לאותם האנשים או שזה שלב מוקדם מידי בקשר בשביל להחליט. 
אני יוצאת עכשיו עם בחור מקסים. יצא לנו לצאת ביחד לכמה פגישות ובפעם האחרונה התנשקנו. גם הפעם לא הרגשתי כלום. מה לעשות? האם יש סיכוי שארגיש כלפיו משהו בהמשך? האם זאת סיבה לחתוך? אם לא כמה זמן כדי לתת לזה הזדמנות ולראות מה קורה? אני לא רוצה שיעבור הזמן ואולי אני לא ארגיש כלפיו כלום ואני אפגע בו בסוף.. אולי אני לא יכולה להמשך לאנשים או להתאהב... אני לא יודעת מה לעשות כבר."
200026,1253,"היי לכולם, אני גרושה בת 35 פלוס 2. התגרשתי לפני שלוש שנים מבעלי ואב ילדיי ואהבת חיי לאחר שגיליתי שבגד בי. התחושה היתה קשה מנשוא, הלב מת! סכין נכנסה בי בכל הכח. לא האמנתי שהגבר שאוהב אותי (לפחות אמר והתנהג) החצי שלי שכל כך אהבתי יעשה לי דבר כזה. (היינו נשואים 3 שנים) אז נכון שהיה בתוך אופוריה ובסופו של דבר ביקש לחזור הביתה אבל פשוט לא הייתי מסוגלת. התגרשנו בגירושים לא קלים ועברתי תקופה לא קלה. לאחר שנתיים הכרתי בחור מקסים שלקח לי זמן מאוד להכניס לחיי בעקבות האכזבה מהאקס. עם הזמן התחלנו לצאת , יחסיו עם הילדים שלי טובים . לאחר תקופה החלטנו לאחד כוחות ולעבור לגור יחד . הכל טוב ויפה אבל..... אני לא מצליחה לאהוב אותו ממש, להרגיש שהוא חלק ממני. זה מטריף אותי!! אני שואלת את עצמי אם זה בגלל העבר שלי והפגיעה או בגלל שהוא פשוט לא הבחור שאמור להשלים אותי. או שאולי אני רגילה ליחס ואהבה שקיבלתי מהאקס והבחור הנוכחי לא כזה. הרי לא כולם קוצי מוצי. אבל אני אוהבת את זה, אני רוצה קוצי מוצי אני רוצה שיחבקו אותי וינשקו אותי. זה לא אומר שהנוכחי לא אוהב אבל כנראה שלא מאלה שמרעיפים. אני מוצאת את עצמי לפעמים אומרת מה אני עושה פה? אולי זה לא הבחור שלי? ומצד שני, מה כן אני מחפשת הרי לא חסר לו שום דבר . אולי הוא קצת כבד ולא זורם כמוני אבל זה שטויות. אני ממש מחפשת תשובות מה נכון לי לעשות או אם אני צריכה להיות במקום שכן מספק אותי... אשמח לשמוע מכם מה אתם אומרים..."
